t;Adj Close
0;5590.790039
1;5559.569824
2;5472.359863
3;5523.520020
4;5459.620117
5;5510.520020
6;5399.209961
7;5461.680176
8;5563.109863
9;5563.049805
10;5608.540039
11;5659.259766
12;5686.029785
13;5691.540039
14;5670.799805
15;5669.819824
16;5703.669922
17;5786.250000
18;5786.529785
19;5765.839844
20;5728.330078
21;5773.549805
22;5767.439941
23;5779.839844
24;5797.979980
25;5783.890137
26;5703.220215
27;5792.790039
28;5809.729980
29;5830.060059
30;5830.649902
31;5782.649902
32;5902.990234
33;5924.970215
34;5990.549805
35;6033.759766
36;6046.549805
37;6035.970215
38;6055.430176
39;6054.819824
40;6062.790039
41;5997.959961
42;5968.479980
43;5945.299805
44;5947.290039
45;5952.410156
46;5988.810059
47;6015.509766
48;6088.040039
49;6067.229980
50;6102.959961
51;6131.339844
52;6130.660156
53;6165.720215
54;6169.410156
55;6161.680176
56;6184.100098
57;6208.580078
58;6234.140137
59;6287.069824
60;6296.689941
61;6165.109863
62;6210.549805
63;6267.279785
64;6257.939941
65;6275.520020
66;6273.759766
67;6306.979980
68;6302.569824
69;6269.479980
70;6307.899902
71;6251.750000
72;6339.470215
73;6357.089844
74;6385.509766
75;6385.990234
76;6267.390137
77;6279.350098
78;6288.330078
79;6385.140137
80;6367.350098
81;6353.669922
82;6262.549805
83;6343.580078
84;6386.410156
85;6408.490234
86;6390.270020
87;6391.600098
88;6435.709961
89;6484.109863
90;6447.169922
91;6489.399902
92;6521.520020
93;6507.919922
94;6515.660156
95;6543.560059
96;6551.009766
97;6563.450195
98;6546.490234
99;6600.660156
100;6616.350098
101;6639.520020
102;6652.649902
103;6666.259766
104;6569.160156
105;6602.540039
106;6611.500000
107;6551.069824
108;6631.149902
109;6622.870117
110;6558.020020
111;6567.430176
112;6507.830078
113;6553.819824
114;6552.859863
115;6567.540039
116;6507.479980
117;6527.720215
118;6396.729980
119;6529.419922
120;6559.250000
121;6558.470215
122;6558.379883
123;6493.359863
124;6460.080078
125;6295.970215
126;6346.850098
127;6464.479980
128;6481.589844
129;6568.819824
130;6578.600098
131;6531.919922
132;6609.310059
133;6633.770020
134;6612.759766
135;6675.899902
136;6723.810059
137;6746.229980
138;6781.189941
139;6816.959961
140;6813.180176
141;6820.209961
142;6857.990234
143;6882.470215
144;6896.040039
145;6838.770020
146;6819.839844
147;6770.109863
148;6605.890137
149;6626.109863
150;6683.100098
151;6664.310059
152;6676.479980
153;6666.029785
154;6681.919922
155;6687.299805
156;6680.180176
157;6758.689941
158;6763.080078
159;6689.990234
160;6743.500000
161;6726.069824
162;6668.890137
163;6684.720215
164;6663.770020
165;6676.930176
166;6652.970215
167;6583.620117
168;6622.589844
169;6570.189941
170;6455.810059
171;6552.729980
172;6637.000000
173;6701.979980
174;6638.459961
175;6650.910156
176;6506.500000
177;6560.799805
178;6520.009766
179;6517.689941
180;6477.660156
181;6576.279785
182;6493.120117
183;6600.189941
184;6559.990234
185;6570.540039
186;6548.109863
187;6597.379883
188;6685.209961
189;6727.520020
190;6673.100098
191;6669.850098
192;6705.609863
193;6686.169922
194;6733.689941
195;6712.870117
196;6766.509766
197;6753.520020
198;6804.220215
199;6830.339844
200;6893.290039
201;6927.029785
202;6950.649902
203;6987.790039
204;7040.790039
205;7047.479980
206;7043.270020
207;7045.160156
208;7059.549805
209;7091.399902
210;7128.629883
211;7152.600098
212;7156.850098
213;7141.979980
214;7112.290039
215;7105.000000
216;7044.620117
217;7042.229980
218;7075.870117
219;6739.729980
220;6776.250000
221;6721.160156
222;6881.870117
223;6795.750000
224;6765.520020
225;6865.779785
226;7065.390137
227;7014.569824
228;7008.229980
229;6991.680176
230;6942.910156
231;6895.310059
232;6927.629883
233;7005.069824
234;6926.629883
235;6870.100098
236;6964.990234
237;7051.669922
238;7106.149902
239;7086.580078
240;7140.390137
241;7181.109863
242;7161.520020
243;7173.229980
244;7153.029785
245;7217.220215
246;7317.410156
247;7376.370117
248;7249.660156
249;7219.479980
250;7115.770020
251;7183.379883
252;7237.189941
253;7201.140137
254;7143.000000
255;7201.640137
256;7133.830078
257;7172.979980
258;7194.160156
259;7074.490234
